code,name,s_d,src,note,name_src,desc_src
AUS,Australia,d,IMF,,IMF,IMF g20 paper
AUT,Austria,d,IMF_dsbb,,IMF_dsbb,IMF Dissemination Standards Bulletin Board
BEL,Belgium,d,IMF,,IMF_pub,IMF publication
CAN,Canada,d,IMF,,nsa,national statistical agency
CHL,Chile,d,IMF_pub,,ec_survey,European Commission survey
COL,Colombia,d,IMF_pub,,exist,Data exist in OECD STAN
CRI,Costa Rica,d,nsa,,,
CZE,Czech Republic - Czechia,d,IMF_dsbb,,,
DNK,Denmark,d,IMF_dsbb,,,
EST,Estonia,d,IMF_pub,,,
FIN,Finland,d,nsa,change in data from 2001,,
FRA,France,d,IMF,,,
DEU,Germany,d,IMF,,,
GRC,Greece,d,IMF_pub,,,
HUN,Hungary,d,nsa,,,
ISL,Iceland,s,nsa,,,
IRL,Ireland,s,IMF_dsbb,agriculture: double,,
ISR,Israel,s,IMF_dsbb,,,
ITA,Italy,d,IMF,,,
JPN,Japan,d,IMF,,,
KOR,Korea,d,IMF,s to d in 2004,,
LVA,Latvia,d,exist,,,
LTU,Lithuania,s,IMF_dsbb,multiple regression models along with time series methods,,
LUX,Luxembourg,d,IMF_dsbb,,,
MEX,Mexico,d,IMF,,,
NLD,Netherlands,d,IMF,,,
NZL,New Zealand,s,nsa,,,
NOR,Norway,d,nsa,,,
POL,Poland,d,IMF_dsbb,,,
PRT,Portugal,d,exist,,,
SVK,Slovak Republic,d,ec_survey,,,
SVN,Slovenia,d,nsa,s to d in 2001,,
ESP,Spain,d,ec_survey,,,
SWE,Sweden,d,ec_survey,,,
CHE,Switzerland,d,exist,,,
TUR,Turkey,s,IMF,,,
GBR,United Kingdom,s,IMF,,,
USA,United States,d,IMF,,,
ARG,Argentina,s,IMF,,,
BRA,Brazil,d,IMF,,,
BRN,Brunei Darussalam,s,IMF_dsbb,,,
BGR,Bulgaria,d,IMF_dsbb,,,
KHM,Cambodia,s,IMF_dsbb,,,
CHN,China (People's Republic of),s,IMF,,,
HRV,Croatia,d,nsa,,,
CYP,Cyprus,d,ec_survey,,,
IND,India,s,IMF,,,
IDN,Indonesia,s,IMF,,,
HKG,"Hong Kong, China",s,IMF_dsbb,,,
KAZ,Kazakhstan,s,IMF_dsbb,d for industries,,
LAO,Lao People's Democratic Republic,s,IMF_dsbb,,,
MYS,Malaysia,s,IMF_dsbb,,?????,
MLT,Malta,s,IMF_dsbb,,,
MAR,Morocco,d,IMF_dsbb,,,
MMR,Myanmar,s,IMF_dsbb,,,
PER,Peru,s,IMF_dsbb,,,
PHL,Philippines,s,IMF_dsbb,,,
ROU,Romania,s,IMF_dsbb,except agriculture,,
RUS,Russian Federation,s,IMF,,,
SAU,Saudi Arabia,s,IMF,,,
SGP,Singapore,s,IMF_dsbb,,,
ZAF,South Africa,s,IMF,,,
TWN,Chinese Taipei,s,emailed,,,
THA,Thailand,d,IMF_dsbb,,,
TUN,Tunisia,d,IMF_dsbb,,,
VNM,Viet Nam,d,IMF_dsbb,,,
ROW,Rest of the World,,,,,